,#,Currency,Pair,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated
1350,1351,Travala.com,AVA/BNB,$0.7229,"$2,370.89","$6,859.24","$47,027",0.00%,831,Recently
1351,1352,Shentu,CTK/BNB,$0.7606,$884.80,"$3,732.74","$50,229",0.00%,697,Recently
1352,1353,Polkastarter,POLS/BTC,$0.6173,"$1,626.31","$19,744.63","$39,146",0.00%,804,Recently
1353,1354,Loom Network,LOOM/ETH,$0.05003,"$2,485.77","$11,273.74","$25,391",0.00%,873,Recently
1354,1355,Internet Computer,ICP/TRY,$7.74,$805.37,$359.34,"$51,423",0.00%,531,Recently
1355,1356,Avalanche,AVAX/BIDR,$30.73,$115.65,"$19,571.27","$39,048",0.00%,815,Recently
1356,1357,Cosmos,ATOM/BRL,$10.40,-,"$7,142.08","$37,401",0.00%,676,Recently
1357,1358,Chainlink,LINK/BRL,$7.07,"$11,314.63","$14,968.48","$47,153",0.00%,595,Recently
1358,1359,Arweave,AR/BNB,$14.55,"$17,210.12","$18,681.24","$51,495",0.00%,740,Recently
1359,1360,Livepeer,LPT/BNB,$14.02,"$2,084.81","$6,693.49","$36,082",0.00%,819,Recently
1360,1361,0x,ZRX/ETH,$0.3808,"$16,712.39","$30,739.60","$30,921",0.00%,905,Recently
1361,1362,Ontology Gas,ONG/BTC,$0.3901,"$6,816.54","$12,389.40","$46,751",0.00%,904,Recently
1362,1363,Nano,XNO/ETH,$1.10,"$4,590.38","$5,794.62","$28,950",0.00%,738,Recently
1363,1364,Gala,GALA/AUD,$0.0805,$892.09,"$6,414.17","$44,355",0.00%,705,Recently
1364,1365,Mina,MINA/BNB,$1.01,"$26,052.40","$22,663.85","$28,083",0.00%,680,Recently
1365,1366,Gnosis,GNO/BTC,$212.32,"$3,661.91","$3,320.23","$45,664",0.00%,804,Recently
1366,1367,Standard Tokenization Protocol,STPT/BTC,$0.04607,"$14,169.99","$4,391.04","$29,221",0.00%,782,Recently
1367,1368,Shiba Inu,SHIB/GBP,$0.00001187,"$7,809.85","$4,494.46","$28,258",0.00%,797,Recently
1368,1369,Synthetix,SNX/BNB,$2.57,"$1,235.49","$3,656.44","$28,854",0.00%,564,Recently
1369,1370,Astar,ASTR/ETH,$0.06177,"$1,050.44","$9,698.63","$25,710",0.00%,866,Recently
1370,1371,Horizen,ZEN/ETH,$19.54,"$13,642.55","$38,256.03","$26,411",0.00%,935,Recently
1371,1372,Dogecoin,DOGE/RUB,$0.08571,"$11,159.71","$13,388.63","$46,526",0.00%,733,Recently
1372,1373,Tezos,XTZ/ETH,$1.71,"$1,147.28","$16,041.60","$30,020",0.00%,725,Recently
1373,1374,Coin98,C98/BRL,$0.4808,"$2,083.24","$16,334.21","$44,524",0.00%,629,Recently
1374,1375,CLV,CLV/BNB,$0.1475,"$3,066.79","$25,290.20","$45,341",0.00%,671,Recently
1375,1376,Litecoin,LTC/RUB,$67.79,"$11,413.90","$6,442.38","$46,737",0.00%,938,Recently
1376,1377,Ethereum Classic,ETC/BNB,$20.24,"$3,163.62","$15,130.13","$46,194",0.00%,748,Recently
1377,1378,Waves,WAVES/EUR,$6.36,$899.37,"$10,106.13","$40,607",0.00%,637,Recently
1378,1379,Viberate,VIB/BTC,$0.01472,"$12,142.27","$7,365.60","$41,929",0.00%,517,Recently
1379,1380,Merit Circle,MC/BNB,$1.02,$676.55,"$3,994.23","$44,102",0.00%,883,Recently
1380,1381,Serum,SRM/BNB,$1.16,"$16,897.38","$13,319.00","$41,177",0.00%,894,Recently
1381,1382,IoTeX,IOTX/ETH,$0.02972,"$22,881.56","$28,412.04","$41,153",0.00%,662,Recently
1382,1383,Bitcoin Cash,BCH/USDC,$192.58,"$34,961.06","$33,015.37","$44,212",0.00%,930,Recently
1383,1384,Enjin Coin,ENJ/ETH,$0.6709,"$5,641.94","$25,022.55","$40,110",0.00%,863,Recently
1384,1385,Qtum,QTUM/ETH,$3.89,"$20,307.64","$30,871.63","$44,349",0.00%,941,Recently
1385,1386,MyNeighborAlice,ALICE/BIDR,$3.02,"$3,060.51","$6,573.13","$46,932",0.00%,903,Recently
1386,1387,DeXe,DEXE/ETH,$3.59,"$3,002.47","$5,037.44","$32,143",0.00%,932,Recently
1387,1388,Lisk,LSK/BUSD,$1.16,"$2,167.82","$10,126.09","$39,698",0.00%,699,Recently
1388,1389,Basic Attention Token,BAT/ETH,$0.3799,"$6,273.33","$35,833.61","$28,407",0.00%,849,Recently
1389,1390,SelfKey,KEY/ETH,$0.003459,"$4,002.66","$6,010.53","$47,769",0.00%,938,Recently
1390,1391,yearn.finance,YFI/EUR,"$9,398.19","$13,816.91","$15,877.98","$50,459",0.00%,776,Recently
1391,1392,ARPA Chain,ARPA/BNB,$0.03254,"$1,827.87","$15,279.24","$51,162",0.00%,644,Recently
1392,1393,Lisk,LSK/ETH,$1.16,"$2,711.15","$7,164.12","$47,560",0.00%,781,Recently
1393,1394,OMG Network,OMG/ETH,$2.40,"$20,628.22","$33,881.36","$50,340",0.00%,922,Recently
1394,1395,StormX,STMX/ETH,$0.00927,"$20,709.45","$23,829.87","$47,929",0.00%,587,Recently
1395,1396,Keep3rV1,KP3R/BNB,$118.85,"$17,382.70","$23,178.52","$51,142",0.00%,869,Recently
1396,1397,Flamingo,FLM/BTC,$0.0971,"$6,224.19","$7,003.46","$42,301",0.00%,831,Recently
1397,1398,Bitcoin Gold,BTG/BUSD,$18.49,"$5,626.22","$16,814.97","$48,001",0.00%,616,Recently
1398,1399,Dego Finance,DEGO/BTC,$1.28,"$1,928.33","$4,809.56","$49,050",0.00%,924,Recently
1399,1400,IOST,IOST/ETH,$0.01657,"$24,300.21","$28,922.20","$48,731",0.00%,947,Recently
1400,1401,IOTA,IOTA/ETH,$0.3518,"$10,180.54","$11,572.40","$24,030",0.00%,646,Recently
1401,1402,Reserve Rights,RSR/BNB,$0.004306,"$2,638.21","$12,274.80","$23,938",0.00%,502,Recently
1402,1403,THORChain,RUNE/GBP,$3.08,"$12,937.83","$13,229.85","$23,714",0.00%,746,Recently
1403,1404,Bluzelle,BLZ/ETH,$0.07165,"$2,004.13","$10,931.21","$23,493",0.00%,866,Recently
1404,1405,QuarkChain,QKC/ETH,$0.01128,"$3,354.22","$4,702.74","$22,572",0.00%,926,Recently
1405,1406,EasyFi,EZ/ETH,$0.6206,"$2,048.99","$1,994.17","$37,896",0.00%,548,Recently
1406,1407,Cardano,ADA/RUB,$0.5223,"$15,212.95","$8,279.37","$23,593",0.00%,902,Recently
1407,1408,Ankr,ANKR/BNB,$0.03695,"$3,302.83","$10,513.09","$21,889",0.00%,769,Recently
1408,1409,Bancor,BNT/BUSD,$1.37,"$4,817.91","$5,746.92","$21,598",0.00%,724,Recently
1409,1410,Enjin Coin,ENJ/GBP,$0.6726,"$10,995.39","$9,275.00","$21,741",0.00%,946,Recently
1410,1411,PancakeSwap,CAKE/GBP,$4.41,"$14,534.05","$8,336.39","$22,061",0.00%,693,Recently
1411,1412,Alpha Venture DAO,ALPHA/BNB,$0.1463,"$16,127.27","$14,464.21","$10,790",0.00%,939,Recently
1412,1413,Ooki Protocol,OOKI/ETH,$0.005339,"$1,619.70","$4,930.87","$9,738",0.00%,899,Recently
1413,1414,MovieBloc,MBL/BNB,$0.004998,"$2,887.19","$11,662.81","$8,881",0.00%,611,Recently
1414,1415,Tezos,XTZ/BNB,$1.71,"$2,630.77","$12,790.23","$8,596",0.00%,695,Recently
1415,1416,Radicle,RAD/BNB,$1.94,"$13,316.98","$6,135.35","$9,581",0.00%,565,Recently
1416,1417,Quant,QNT/BNB,$68.37,"$17,775.09","$13,891.83","$20,530",0.00%,841,Recently
1417,1418,DigiByte,DGB/BNB,$0.02781,"$2,528.47","$3,127.92","$21,104",0.00%,853,Recently
1418,1419,Voxies,VOXEL/ETH,$0.5218,$547.33,"$13,857.43","$8,868",0.00%,562,Recently
1419,1420,XRP,XRP/TUSD,$0.4157,"$5,958.73","$24,584.03","$20,647",0.00%,913,Recently
1420,1421,Metal,MTL/ETH,$1.32,"$6,052.31","$17,491.47","$7,258",0.00%,672,Recently
1421,1422,Binance USD,BUSD/VAI,$1.01,"$14,750.22","$501,358.99","$7,301",0.00%,572,Recently
1422,1423,Automata Network,ATA/BNB,$0.1478,$646.80,"$8,172.57","$8,826",0.00%,538,Recently
1423,1424,Stratis,STRAX/ETH,$0.5501,"$1,241.38","$9,264.92","$6,888",0.00%,908,Recently
1424,1425,Enjin Coin,ENJ/BRL,$0.6732,"$4,726.53","$9,888.30","$7,084",0.00%,531,Recently
1425,1426,Neo,NEO/RUB,$10.02,$846.58,"$4,237.42","$6,686",0.00%,643,Recently
1426,1427,IOTA,IOTA/BNB,$0.3518,"$2,986.98","$10,676.20","$18,168",0.00%,624,Recently
1427,1428,Celer Network,CELR/BNB,$0.0166,"$2,802.85","$16,258.68","$18,047",0.00%,906,Recently
1428,1429,Dash,DASH/BNB,$57.14,"$2,053.14","$13,576.33","$16,164",0.00%,909,Recently
1429,1430,Ocean Protocol,OCEAN/BNB,$0.2172,"$4,124.27","$20,738.48","$16,824",0.00%,663,Recently
1430,1431,Internet Computer,ICP/ETH,$7.81,"$11,474.56","$26,513.09","$17,825",0.00%,820,Recently
1431,1432,Stacks,STX/BNB,$0.5144,"$18,942.88","$32,792.92","$18,402",0.00%,917,Recently
1432,1433,Kava,KAVA/ETH,$2.41,"$1,263.93","$18,616.12","$20,204",0.00%,633,Recently
1433,1434,ICON,ICX/ETH,$0.3582,"$18,447.27","$26,901.93","$13,396",0.00%,695,Recently
1434,1435,Mask Network,MASK/BNB,$1.67,"$19,984.62","$21,334.48","$12,104",0.00%,860,Recently
1435,1436,TrueFi,TRU/RUB,$0.08701,$173.30,$314.57,"$11,170",0.00%,725,Recently
1436,1437,Hifi Finance,MFT/ETH,$0.004606,"$4,724.22","$12,976.79","$15,266",0.00%,913,Recently
1437,1438,Illuvium,ILV/BNB,$290.10,$891.83,"$2,791.45","$11,732",0.00%,943,Recently
1438,1439,Yield Guild Games,YGG/BNB,$0.5602,"$3,053.25","$20,920.46","$15,438",0.00%,930,Recently
1439,1440,Celer Network,CELR/ETH,$0.01673,$599.20,"$21,695.07","$11,070",0.00%,898,Recently
1440,1441,WazirX,WRX/BNB,$0.2453,"$2,012.23","$11,729.09","$15,133",0.00%,714,Recently
